n_est,max_depth,lambda,learning_rate,missing,objective,accuracy
150,2,0.5,0.15,nan,binary:logistic,0.8471484486217938
150,2,0.5,0.15,nan,binary:hinge,0.8248519039804328
150,2,0.5,0.15,nan,binary:logitraw,0.8405761868096376
150,2,0.5,0.15,0,binary:logistic,0.8471484486217938
150,2,0.5,0.15,0,binary:hinge,0.8248519039804328
150,2,0.5,0.15,0,binary:logitraw,0.8405761868096376
150,2,0.5,0.2,nan,binary:logistic,0.8485612288101576
150,2,0.5,0.2,nan,binary:hinge,0.8323454341874174
150,2,0.5,0.2,nan,binary:logitraw,0.8415896324124618
150,2,0.5,0.2,0,binary:logistic,0.8485612288101576
150,2,0.5,0.2,0,binary:hinge,0.8323454341874174
150,2,0.5,0.2,0,binary:logitraw,0.8415896324124618
150,2,0.5,0.25,nan,binary:logistic,0.8489604615267954
150,2,0.5,0.25,nan,binary:hinge,0.834218772171519
150,2,0.5,0.25,nan,binary:logitraw,0.8422960366551022
150,2,0.5,0.25,0,binary:logistic,0.8489604615267954
150,2,0.5,0.25,0,binary:hinge,0.834218772171519
150,2,0.5,0.25,0,binary:logitraw,0.8422960366551022
150,2,1,0.15,nan,binary:logistic,0.8470563308373246
150,2,1,0.15,nan,binary:hinge,0.8252204402012198
150,2,1,0.15,nan,binary:logitraw,0.840545447868411
150,2,1,0.15,0,binary:logistic,0.8470563308373246
150,2,1,0.15,0,binary:hinge,0.8252204402012198
150,2,1,0.15,0,binary:logitraw,0.840545447868411
150,2,1,0.2,nan,binary:logistic,0.8483462429812256
150,2,1,0.2,nan,binary:hinge,0.8327754794172666
150,2,1,0.2,nan,binary:logitraw,0.8418046182413937
150,2,1,0.2,0,binary:logistic,0.8483462429812256
150,2,1,0.2,0,binary:hinge,0.8327754794172666
150,2,1,0.2,0,binary:logitraw,0.8418046182413937
150,2,1,0.25,nan,binary:logistic,0.848039130878749
150,2,1,0.25,nan,binary:hinge,0.8367679820245305
150,2,1,0.25,nan,binary:logitraw,0.8421731572918726
150,2,1,0.25,0,binary:logistic,0.848039130878749
150,2,1,0.25,0,binary:hinge,0.8367679820245305
150,2,1,0.25,0,binary:logitraw,0.8421731572918726
150,2,1.5,0.15,nan,binary:logistic,0.8472713194959484
150,2,1.5,0.15,nan,binary:hinge,0.8249133082909011
150,2,1.5,0.15,nan,binary:logitraw,0.8405454789950201
150,2,1.5,0.15,0,binary:logistic,0.8472713194959484
150,2,1.5,0.15,0,binary:hinge,0.8249133082909011
150,2,1.5,0.15,0,binary:logitraw,0.8405454789950201
150,2,1.5,0.2,nan,binary:logistic,0.8478548358862841
150,2,1.5,0.2,nan,binary:hinge,0.8346181010976753
150,2,1.5,0.2,nan,binary:logitraw,0.8415896437312286
150,2,1.5,0.2,0,binary:logistic,0.8478548358862841
150,2,1.5,0.2,0,binary:hinge,0.8346181010976753
150,2,1.5,0.2,0,binary:logitraw,0.8415896437312286
150,2,1.5,0.25,nan,binary:logistic,0.848469094047538
150,2,1.5,0.25,nan,binary:hinge,0.8378428828722738
150,2,1.5,0.25,nan,binary:logitraw,0.8422038594471067
150,2,1.5,0.25,0,binary:logistic,0.848469094047538
150,2,1.5,0.25,0,binary:hinge,0.8378428828722738
150,2,1.5,0.25,0,binary:logitraw,0.8422038594471067
150,2,2,0.15,nan,binary:logistic,0.8472712855396477
150,2,2,0.15,nan,binary:hinge,0.8235926373979314
150,2,2,0.15,nan,binary:logitraw,0.8401462123220815
150,2,2,0.15,0,binary:logistic,0.8472712855396477
150,2,2,0.15,0,binary:hinge,0.8235926373979314
150,2,2,0.15,0,binary:logitraw,0.8401462123220815
150,2,2,0.2,nan,binary:logistic,0.8476398868433445
150,2,2,0.2,nan,binary:hinge,0.8309327813351812
150,2,2,0.2,nan,binary:logitraw,0.8414053855247561
150,2,2,0.2,0,binary:logistic,0.8476398868433445
150,2,2,0.2,0,binary:hinge,0.8309327813351812
150,2,2,0.2,0,binary:logitraw,0.8414053855247561
150,2,2,0.25,nan,binary:logistic,0.8486533720618525
150,2,2,0.25,nan,binary:hinge,0.8354781123260052
150,2,2,0.25,nan,binary:logitraw,0.8421424296694129
150,2,2,0.25,0,binary:logistic,0.8486533720618525
150,2,2,0.25,0,binary:hinge,0.8354781123260052
150,2,2,0.25,0,binary:logitraw,0.8421424296694129
150,3,0.5,0.15,nan,binary:logistic,0.8500968034709994
150,3,0.5,0.15,nan,binary:hinge,0.8418352524840266
150,3,0.5,0.15,nan,binary:logitraw,0.8424188339572719
150,3,0.5,0.15,0,binary:logistic,0.8500968034709994
150,3,0.5,0.15,0,binary:hinge,0.8418352524840266
150,3,0.5,0.15,0,binary:logitraw,0.8424188339572719
150,3,0.5,0.2,nan,binary:logistic,0.8504346233880938
150,3,0.5,0.2,nan,binary:hinge,0.8400540124765522
150,3,0.5,0.2,nan,binary:logitraw,0.8438929901591866
150,3,0.5,0.2,0,binary:logistic,0.8504346233880938
150,3,0.5,0.2,0,binary:hinge,0.8400540124765522
150,3,0.5,0.2,0,binary:logitraw,0.8438929901591866
150,3,0.5,0.25,nan,binary:logistic,0.8511103113270414
150,3,0.5,0.25,nan,binary:hinge,0.8422038396392645
150,3,0.5,0.25,nan,binary:logitraw,0.843033038354383
150,3,0.5,0.25,0,binary:logistic,0.8511103113270414
150,3,0.5,0.25,0,binary:hinge,0.8422038396392645
150,3,0.5,0.25,0,binary:logitraw,0.843033038354383
150,3,1,0.15,nan,binary:logistic,0.8498203991831405
150,3,1,0.15,nan,binary:hinge,0.840821832348428
150,3,1,0.15,nan,binary:logitraw,0.8428795190891373
150,3,1,0.15,0,binary:logistic,0.8498203991831405
150,3,1,0.15,0,binary:hinge,0.840821832348428
150,3,1,0.15,0,binary:logitraw,0.8428795190891373
150,3,1,0.2,nan,binary:logistic,0.8507417354905704
150,3,1,0.2,nan,binary:hinge,0.8406375401856548
150,3,1,0.2,nan,binary:logitraw,0.8434016000423955
150,3,1,0.2,0,binary:logistic,0.8507417354905704
150,3,1,0.2,0,binary:hinge,0.8406375401856548
150,3,1,0.2,0,binary:logitraw,0.8434016000423955
150,3,1,0.25,nan,binary:logistic,0.8506189325290171
150,3,1,0.25,nan,binary:hinge,0.8425109432526661
150,3,1,0.25,nan,binary:logitraw,0.8428488141042113
150,3,1,0.25,0,binary:logistic,0.8506189325290171
150,3,1,0.25,0,binary:hinge,0.8425109432526661
150,3,1,0.25,0,binary:logitraw,0.8428488141042113
150,3,1.5,0.15,nan,binary:logistic,0.849359748007576
150,3,1.5,0.15,nan,binary:hinge,0.8392554678119085
150,3,1.5,0.15,nan,binary:logitraw,0.843248046820849
150,3,1.5,0.15,0,binary:logistic,0.849359748007576
150,3,1.5,0.15,0,binary:hinge,0.8392554678119085
150,3,1.5,0.15,0,binary:logitraw,0.843248046820849
150,3,1.5,0.2,nan,binary:logistic,0.8505574404981054
150,3,1.5,0.2,nan,binary:hinge,0.8412517332639992
150,3,1.5,0.2,nan,binary:logitraw,0.8434630156716306
150,3,1.5,0.2,0,binary:logistic,0.8505574404981054
150,3,1.5,0.2,0,binary:hinge,0.8412517332639992
150,3,1.5,0.2,0,binary:logitraw,0.8434630156716306
150,3,1.5,0.25,nan,binary:logistic,0.8498204303097495
150,3,1.5,0.25,nan,binary:hinge,0.8424187943415876
150,3,1.5,0.25,nan,binary:logitraw,0.8441386583355109
150,3,1.5,0.25,0,binary:logistic,0.8498204303097495
150,3,1.5,0.25,0,binary:hinge,0.8424187943415876
150,3,1.5,0.25,0,binary:logitraw,0.8441386583355109
150,3,2,0.15,nan,binary:logistic,0.8496668459615938
150,3,2,0.15,nan,binary:hinge,0.8396240549671466
150,3,2,0.15,nan,binary:logitraw,0.8424802552458904
150,3,2,0.15,0,binary:logistic,0.8496668459615938
150,3,2,0.15,0,binary:hinge,0.8396240549671466
150,3,2,0.15,0,binary:logitraw,0.8424802552458904
150,3,2,0.2,nan,binary:logistic,0.8510795525779727
150,3,2,0.2,nan,binary:hinge,0.8417124240552477
150,3,2,0.2,nan,binary:logitraw,0.8431251533091606
150,3,2,0.2,0,binary:logistic,0.8510795525779727
150,3,2,0.2,0,binary:hinge,0.8417124240552477
150,3,2,0.2,0,binary:logitraw,0.8431251533091606
150,3,2,0.25,nan,binary:logistic,0.8501582615456105
150,3,2,0.25,nan,binary:hinge,0.8421117190251035
150,3,2,0.25,nan,binary:logitraw,0.8435244737462417
150,3,2,0.25,0,binary:logistic,0.8501582615456105
150,3,2,0.25,0,binary:hinge,0.8421117190251035
150,3,2,0.25,0,binary:logitraw,0.8435244737462417
150,4,0.5,0.15,nan,binary:logistic,0.8508031737573393
150,4,0.5,0.15,nan,binary:hinge,0.8401154111276371
150,4,0.5,0.15,nan,binary:logitraw,0.8424188084900464
150,4,0.5,0.15,0,binary:logistic,0.8508031737573393
150,4,0.5,0.15,0,binary:hinge,0.8401154111276371
150,4,0.5,0.15,0,binary:logitraw,0.8424188084900464
150,4,0.5,0.2,nan,binary:logistic,0.8495747310068164
150,4,0.5,0.2,nan,binary:hinge,0.8412210820432161
150,4,0.5,0.2,nan,binary:logitraw,0.8423266652383514
150,4,0.5,0.2,0,binary:logistic,0.8495747310068164
150,4,0.5,0.2,0,binary:hinge,0.8412210820432161
150,4,0.5,0.2,0,binary:logitraw,0.8423266652383514
150,4,0.5,0.25,nan,binary:logistic,0.8486840855358536
150,4,0.5,0.25,nan,binary:hinge,0.8431866368509972
150,4,0.5,0.25,nan,binary:logitraw,0.843217302220239
150,4,0.5,0.25,0,binary:logistic,0.8486840855358536
150,4,0.5,0.25,0,binary:hinge,0.8431866368509972
150,4,0.5,0.25,0,binary:logitraw,0.843217302220239
150,4,1,0.15,nan,binary:logistic,0.8496975339683693
150,4,1,0.15,nan,binary:hinge,0.8412825174802933
150,4,1,0.15,nan,binary:logitraw,0.842357384371736
150,4,1,0.15,0,binary:logistic,0.8496975339683693
150,4,1,0.15,0,binary:hinge,0.8412825174802933
150,4,1,0.15,0,binary:logitraw,0.842357384371736
150,4,1,0.2,nan,binary:logistic,0.8500968515757589
150,4,1,0.2,nan,binary:hinge,0.8422038594471067
150,4,1,0.2,nan,binary:logitraw,0.8419888481509489
150,4,1,0.2,0,binary:logistic,0.8500968515757589
150,4,1,0.2,0,binary:hinge,0.8422038594471067
150,4,1,0.2,0,binary:logitraw,0.8419888481509489
150,4,1,0.25,nan,binary:logistic,0.8494211466586608
150,4,1,0.25,nan,binary:hinge,0.8428795190891373
150,4,1,0.25,nan,binary:logitraw,0.8430637291908503
150,4,1,0.25,0,binary:logistic,0.8494211466586608
150,4,1,0.25,0,binary:hinge,0.8428795190891373
150,4,1,0.25,0,binary:logitraw,0.8430637291908503
150,4,1.5,0.15,nan,binary:logistic,0.8495746800723651
150,4,1.5,0.15,nan,binary:hinge,0.8416511018058396
150,4,1.5,0.15,nan,binary:logitraw,0.8426952184372888
150,4,1.5,0.15,0,binary:logistic,0.8495746800723651
150,4,1.5,0.15,0,binary:hinge,0.8416511018058396
150,4,1.5,0.15,0,binary:logitraw,0.8426952184372888
150,4,1.5,0.2,nan,binary:logistic,0.8496668261537518
150,4,1.5,0.2,nan,binary:hinge,0.8407603686144335
150,4,1.5,0.2,nan,binary:logitraw,0.8429716085766893
150,4,1.5,0.2,0,binary:logistic,0.8496668261537518
150,4,1.5,0.2,0,binary:hinge,0.8407603686144335
150,4,1.5,0.2,0,binary:logitraw,0.8429716085766893
150,4,1.5,0.25,nan,binary:logistic,0.8495439977249731
150,4,1.5,0.25,nan,binary:hinge,0.8438929731810364
150,4,1.5,0.25,nan,binary:logitraw,0.843493706508098
150,4,1.5,0.25,0,binary:logistic,0.8495439977249731
150,4,1.5,0.25,0,binary:hinge,0.8438929731810364
150,4,1.5,0.25,0,binary:logitraw,0.843493706508098
150,4,2,0.15,nan,binary:logistic,0.849697536798061
150,4,2,0.15,nan,binary:hinge,0.8415282309316852
150,4,2,0.15,nan,binary:logitraw,0.8427873871562093
150,4,2,0.15,0,binary:logistic,0.849697536798061
150,4,2,0.15,0,binary:hinge,0.8415282309316852
150,4,2,0.15,0,binary:logitraw,0.8427873871562093
150,4,2,0.2,nan,binary:logistic,0.8491140175780337
150,4,2,0.2,nan,binary:hinge,0.8416817360484723
150,4,2,0.2,nan,binary:logitraw,0.8429409007620716
150,4,2,0.2,0,binary:logistic,0.8491140175780337
150,4,2,0.2,0,binary:hinge,0.8416817360484723
150,4,2,0.2,0,binary:logitraw,0.8429409007620716
150,4,2,0.25,nan,binary:logistic,0.8501889467226943
150,4,2,0.25,nan,binary:hinge,0.8434937574425492
150,4,2,0.25,nan,binary:logitraw,0.843862262536727
150,4,2,0.25,0,binary:logistic,0.8501889467226943
150,4,2,0.25,0,binary:hinge,0.8434937574425492
150,4,2,0.25,0,binary:logitraw,0.843862262536727
200,2,0.5,0.15,nan,binary:logistic,0.8479469961161293
200,2,0.5,0.15,nan,binary:hinge,0.8258347125109324
200,2,0.5,0.15,nan,binary:logitraw,0.8418967643227804
200,2,0.5,0.15,0,binary:logistic,0.8479469961161293
200,2,0.5,0.15,0,binary:hinge,0.8258347125109324
200,2,0.5,0.15,0,binary:logitraw,0.8418967643227804
200,2,0.5,0.2,nan,binary:logistic,0.8491447452004933
200,2,0.5,0.2,nan,binary:hinge,0.8358772912785003
200,2,0.5,0.2,nan,binary:logitraw,0.8426031119715865
200,2,0.5,0.2,0,binary:logistic,0.8491447452004933
200,2,0.5,0.2,0,binary:hinge,0.8358772912785003
200,2,0.5,0.2,0,binary:logitraw,0.8426031119715865
200,2,0.5,0.25,nan,binary:logistic,0.8493290288741914
200,2,0.5,0.25,nan,binary:hinge,0.8374435539461175
200,2,0.5,0.25,nan,binary:logitraw,0.8426952806905068
200,2,0.5,0.25,0,binary:logistic,0.8493290288741914
200,2,0.5,0.25,0,binary:hinge,0.8374435539461175
200,2,0.5,0.25,0,binary:logitraw,0.8426952806905068
200,2,1,0.15,nan,binary:logistic,0.847824153538892
200,2,1,0.15,nan,binary:hinge,0.8263260856495732
200,2,1,0.15,nan,binary:logitraw,0.8416510565307721
200,2,1,0.15,0,binary:logistic,0.847824153538892
200,2,1,0.15,0,binary:hinge,0.8263260856495732
200,2,1,0.15,0,binary:logitraw,0.8416510565307721
200,2,1,0.2,nan,binary:logistic,0.8484690912178463
200,2,1,0.2,nan,binary:hinge,0.8353552952159936
200,2,1,0.2,nan,binary:logitraw,0.8427259488894402
200,2,1,0.2,0,binary:logistic,0.8484690912178463
200,2,1,0.2,0,binary:hinge,0.8353552952159936
200,2,1,0.2,0,binary:logitraw,0.8427259488894402
200,2,1,0.25,nan,binary:logistic,0.8492061834672624
200,2,1,0.25,nan,binary:hinge,0.8395627157395881
200,2,1,0.25,nan,binary:logitraw,0.8431252268811456
200,2,1,0.25,0,binary:logistic,0.8492061834672624
200,2,1,0.25,0,binary:hinge,0.8395627157395881
200,2,1,0.25,0,binary:logitraw,0.8431252268811456
200,2,1.5,0.15,nan,binary:logistic,0.8479162911312034
200,2,1.5,0.15,nan,binary:hinge,0.826326088479265
200,2,1.5,0.15,nan,binary:logitraw,0.8417125117756914
200,2,1.5,0.15,0,binary:logistic,0.8479162911312034
200,2,1.5,0.15,0,binary:hinge,0.826326088479265
200,2,1.5,0.15,0,binary:logitraw,0.8417125117756914
200,2,1.5,0.2,nan,binary:logistic,0.8488683550610929
200,2,1.5,0.2,nan,binary:hinge,0.8361229792626664
200,2,1.5,0.2,nan,binary:logitraw,0.8418353373747783
200,2,1.5,0.2,0,binary:logistic,0.8488683550610929
200,2,1.5,0.2,0,binary:hinge,0.8361229792626664
200,2,1.5,0.2,0,binary:logitraw,0.8418353373747783
200,2,1.5,0.25,nan,binary:logistic,0.8499125197973015
200,2,1.5,0.25,nan,binary:hinge,0.8398084008940625
200,2,1.5,0.25,nan,binary:logitraw,0.8426952552232813
200,2,1.5,0.25,0,binary:logistic,0.8499125197973015
200,2,1.5,0.25,0,binary:hinge,0.8398084008940625
200,2,1.5,0.25,0,binary:logitraw,0.8426952552232813
200,2,2,0.15,nan,binary:logistic,0.8479162769827447
200,2,2,0.15,nan,binary:hinge,0.8248825467121407
200,2,2,0.15,nan,binary:logitraw,0.84177393306431
200,2,2,0.15,0,binary:logistic,0.8479162769827447
200,2,2,0.15,0,binary:hinge,0.8248825467121407
200,2,2,0.15,0,binary:logitraw,0.84177393306431
200,2,2,0.2,nan,binary:logistic,0.849206166489112
200,2,2,0.2,nan,binary:hinge,0.8332668553855992
200,2,2,0.2,nan,binary:logitraw,0.8420503118849435
200,2,2,0.2,0,binary:logistic,0.849206166489112
200,2,2,0.2,0,binary:hinge,0.8332668553855992
