n_est,bootstrap,max_depth,min_impurity_decrease,min_samples_leaf
150,True,,0.0,2,0.846073573241276
150,True,,0.0,3,0.846165724982046
150,True,,0.0,10,0.8439851560484155
150,True,,0.1,2,0.7591903223094146
150,True,,0.1,3,0.7591903223094146
150,True,,0.1,10,0.7591903223094146
150,True,10,0.0,2,0.8399312095149991
150,True,10,0.0,3,0.8397469456491432
150,True,10,0.0,10,0.8393169966288129
150,True,10,0.1,2,0.7591903223094146
150,True,10,0.1,3,0.7591903223094146
150,True,10,0.1,10,0.7591903223094146
150,True,100,0.0,2,0.8459814271598894
150,True,100,0.0,3,0.8458586383467949
150,True,100,0.0,10,0.8442308666701156
150,True,100,0.1,2,0.7591903223094146
150,True,100,0.1,3,0.7591903223094146
150,True,100,0.1,10,0.7591903223094146
150,True,200,0.0,2,0.8449986837122995
150,True,200,0.0,3,0.8457664696278746
150,True,200,0.0,10,0.8434631033920743
150,True,200,0.1,2,0.7591903223094146
150,True,200,0.1,3,0.7591903223094146
150,True,200,0.1,10,0.7591903223094146
150,False,,0.0,2,0.844967913644464
150,False,,0.0,3,0.8457972057394095
150,False,,0.0,10,0.8450907986670771
150,False,,0.1,2,0.7591903223094146
150,False,,0.1,3,0.7591903223094146
150,False,,0.1,10,0.7591903223094146
150,False,10,0.0,2,0.8407604336973432
150,False,10,0.0,3,0.8397162576423677
150,False,10,0.0,10,0.8390406064894124
150,False,10,0.1,2,0.7591903223094146
150,False,10,0.1,3,0.7591903223094146
150,False,10,0.1,10,0.7591903223094146
150,False,100,0.0,2,0.8447529306452234
150,False,100,0.0,3,0.8456743546730969
150,False,100,0.0,10,0.8452443915043079
150,False,100,0.1,2,0.7591903223094146
150,False,100,0.1,3,0.7591903223094146
150,False,100,0.1,10,0.7591903223094146
150,False,200,0.0,2,0.8456128513234183
150,False,200,0.0,3,0.8461042782262019
150,False,200,0.0,10,0.8453364668434014
150,False,200,0.1,2,0.7591903223094146
150,False,200,0.1,3,0.7591903223094146
150,False,200,0.1,10,0.7591903223094146
200,True,,0.0,2,0.8457664611387994
